Општина,Населено место,Градба/место
Маврово,Галичник,Куќа – сопственик Павле Цинцаровски
Маврово,Галичник,Куќа – сопственик Динго Чаловски
Маврово,Галичник,Куќа – сопственици Борис и Трајче Филиповски
Маврово,Галичник,Куќа – сопственик Русе Геговски
Маврово,Галичник,Куќа – сопственик Тофе Кецкаровски
Маврово,Галичник,Куќа – сопственик Блаже Шотаровски
Маврово,Галичник,Куќа – сопственици Деспот и Мето Чаловски
Маврово,Галичник,Куќа – сопственици Кузе и Вељо Чаловски
Маврово,Галичник,Куќа – сопственик Стрезо Бундовски
Маврово,Галичник,Куќа – сопственик Јован Синокаповски
Маврово,Галичник,Галичник
Маврово,Јанче,Куќа – сопственик и корисник Јован Негриовски
Маврово,Јанче,Куќа – сопственик и корисник Илија Тортевски
Маврово,Јанче,Куќа – сопственик и корисник Биљали Амдија
Маврово,Јанче,Куќа – сопственик и корисник Осман Имери (Бојаџи)
Маврово,Јанче,Куќа – сопственик и корисник Петко Деспотовски
Маврово,Јанче,Куќа – сопственик и корисник Лиман Суљоски
Маврово,Јанче,Куќа – сопственик и корисник Усни Амзовски и Шефкија Суљовски
Маврово,Јанче,Куќа – сопственик и корисник Лидија Лиман
Маврово,Кичиница,Кичиница
Маврово,Никифорово,Археолошко наоѓалиште „Борче/Свети Пантелејмон“
Маврово,Ростуше,Бигорски манастир
Маврово,Ростуше,Куќа – сопственици Василко и Трајан Круковски
Маврово,Ростуше,Стара болница
Маврово,Тресонче,Црква „Св. Петар и Павле“
Македонски,Здуње,Црква „Воведение на Пресвета Богородица“
Македонски,Македонски Брод,Црква „Света Богородица“
Македонски,Модриште,Црква „Св. Атанасиј Велики“
Македонски,Ореовец,Црква „Св. Архангел Гаврил“
Македонски,Требино,Црква „Пресвета Богородица“
Могила,Беранци,Црквиште
Могила,Ивањевци,Археолошко наоѓалиште „Штала - Врбак“
Могила,Могила,Рековчанска Тумба
Неготино,Долни Дисан,Археолошко наоѓалиште „Два Гроба“
Новаци,Зовиќ,Археолошко наоѓалиште „Тумба Чебрен“
Новаци,Кајмакчалан,Црква „Св. Петар“
Новаци,Мегленци,Археолошко наоѓалиште „Мегленски Крст“
Ново,Барбарево,Археолошко наоѓалиште „Црвено Поле“
Ново,Борисово,Воденица за обработка на ориз
Охрид,Долно Лакочереј,Црква „Св. Еразмо“
Охрид,Коњско (Охридско),Црква „Св. Стефан Панцир“
Охрид,Косел,Споменик „Рашанец“
Охрид,Куратица,Гробница на паднатите борци во НОБ
Охрид,Љубаништа,Манастир „Св. Наум“
Охрид,Охрид,Воска амам
Охрид,Охрид,Ески амам
Охрид,Охрид,Антички театар
Охрид,Охрид,Археолошко наоѓалиште „Гробница-Видобишта“
Охрид,Охрид,Археолошко наоѓалиште „Козлук“
Охрид,Охрид,Археолошко наоѓалиште на ул. „Илинденска“ б.б.
Охрид,Охрид,"Хермелија („Габавци“, „Патерица“, „Амбарџица“)"
Охрид,Охрид,Археолошко наоѓалиште „Свети Еразмо“
Охрид,Охрид,Археолошко наоѓалиште „Караѓулевци“
Охрид,Охрид,Галерија на икони
Охрид,Охрид,Гроб на Григор Прличев
Охрид,Охрид,Куќа на Христо Узунов
Охрид,Охрид,Спомен-могила на Славеј Планина
Охрид,Охрид,Куќа на Григор Прличев
Охрид,Охрид,Заедничка гробница на паднатите борци во НОБ
Охрид,Охрид,Куќа со спомен-плоча на ул. „Климентска“ бр. 75
Охрид,Охрид,Спомен-плоча на карпата кај „Баирот“
Охрид,Охрид,Дрво „Кочеџик“ во комплексот „Св. Климент“
Охрид,Охрид,Куќа на Кадри Шех
Охрид,Охрид,Куќа на Петруш Вангелов
Охрид,Охрид,Куќа на Фроса Тримчева
Охрид,Охрид,Куќа на Славка Џамбаз
Охрид,Охрид,Куќа на Арнаудови
Охрид,Охрид,Куќа на Талеви
Охрид,Охрид,Куќа на Бојаџиеви
Охрид,Охрид,Куќа на Димзови
Охрид,Охрид,Куќа на Климе Банде
Охрид,Охрид,Куќа на ул. „Маршал Толбухин“ бр. 2
Охрид,Охрид,Куќа на ул. „Свети Климент Охридски“ бр. 21
Охрид,Охрид,Куќа на Чаулеви
Охрид,Охрид,Куќа на Ајри Доко
Охрид,Охрид,Куќа на Робевци
Охрид,Охрид,Зграда на Радио Охрид
Охрид,Охрид,Магаза на Сулејман Хамди Џељо
Охрид,Охрид,Магаза на Адиљ
Охрид,Охрид,Магаза на Тилеви
Охрид,Охрид,Куќа на Љушеви
Охрид,Охрид,Куќа на Климент Талев
Охрид,Охрид,Куќа на Стефоски
Охрид,Охрид,Магаза на Голеви
Охрид,Охрид,Магаза на Симончеви
Охрид,Охрид,Куќа на Ѓинековци
Охрид,Охрид,Магаза на Кичеевци
Охрид,Охрид,Куќа на Стружанови
Охрид,Охрид,Куќа на ул. „Цар Самоил“ бр. 55
Охрид,Охрид,Куќа на ул. „Цар Самоил“ бр. 59
Охрид,Охрид,Куќа на Коле Котуше
Охрид,Охрид,Куќа на ул. „Страшо Пинџур“ бр. 2
Охрид,Охрид,Куќа на ул. „Страшо Пинџур“ бр. 20
Охрид,Охрид,Поранешна куќа на „Охридско лето“
Охрид,Охрид,Куќа на Групчеви
Охрид,Охрид,Куќа на Ѓурчинови
Охрид,Охрид,Куќа на Митрески
Охрид,Охрид,Куќа на ул. „7 Ноември“ бр. 3
Охрид,Охрид,Куќа на ул. „7 Ноември“ бр. 5
Охрид,Охрид,Куќа на Паунковци
Охрид,Охрид,Куќа на МАНУ
Охрид,Охрид,Магаза на Филипови
Охрид,Охрид,Куќа на Петанови
Охрид,Охрид,Куќа на Хаџиеви
Охрид,Охрид,Работничко училиште
Охрид,Охрид,Музеј на словенската писменост
Охрид,Охрид,Стар град
Охрид,Охрид,Самуилова тврдина
Охрид,Охрид,Теќе „Зејнел Абедин-паша“
Охрид,Охрид,Турбе на Синан Челеби
Охрид,Охрид,Црква „Св. Климент и Пантелејмон“
Охрид,Охрид,Црква „Св. Богородица Челница“
Охрид,Охрид,Црква „Мали Свети Врачи“
Охрид,Охрид,Црква „Св. Богородица Болничка“
Охрид,Охрид,Црква „Св. Никола Болнички“
Охрид,Охрид,Црква „Пресвета Богородица Перивлептос“
Охрид,Охрид,Црква „Св. Климент Охридски“
Охрид,Охрид,Црква „Св. Јован Канео“
Охрид,Охрид,Црква „Св. Софија“
Охрид,Охрид,Црква „Св. Богородица Каменско“
Охрид,Охрид,Црква „Св. Никола Геракомија“
Охрид,Охрид,Црква „Св. Никола Арбанашки“
Охрид,Охрид,Црква „Св. Никола Чудотворец“
Охрид,Охрид,Алипашина џамија
Охрид,Охрид,Ајдарпашина џамија
Охрид,Охрид,Џамија на Хаџи Дургут
Охрид,Охрид,Џамија на Хаџи Хамза
Охрид,Охрид,Кулоглу џамија
Охрид,Охрид,Емин Махмуд џамија
Охрид,Охрид,Кешанли џамија
Охрид,Охрид,Охридско природно и културно-историско подрачје
Охрид,Охрид,Охридско Кале/Горни Сарај
Охрид,Охрид,Полинхонална ранохристијанска црква кај Имарет
Охрид,Охрид,Археолошко наоѓалиште „Плаошник“
Охрид,Охрид,Хотел „Палас“
Охрид,Охрид,Археолошко наоѓалиште „Св. 40 Севастиски Маченици“
Охрид,Охрид,Студенчишка базилика
Охрид,Охрид,Црква „Големи Свети Врачи“
Охрид,Охрид,Црква „Св. Георгиј“
Охрид,Охрид,Манчевци
Охрид,Охрид,Поранешно училиште „Свети Сава“
Охрид,Охрид,Спомен-плоча на паднатите професори и ученици во НОБ од охридската гимназија
Охрид,Пештани,Црква „Св. Богородица Пештанска“
Охрид,Пештани,Залив на Коските
Петровец,Бадар,Бадеријана
Петровец,Летевци,Маркови Кули
Пехчево,Робово,Археолошко наоѓалиште „Мачевски Чуки“
Пехчево,Чифлик,Археолошко наоѓалиште „Село“
Прилеп,Бешиште,Чебренски манастир
Прилеп,Дабница,Трескавец
Прилеп,Манастир,Мариовски манастир
Прилеп,Прилеп,Црква „Св. Благовештение“
Прилеп,Прилеп,Згради на Заводот за заштита на спомениците на културата и музеј – Прилеп
Прилеп,Прилеп,Амам
Прилеп,Прилеп,Турска бања
Прилеп,Прилеп,Куршумли ан
Прилеп,Прилеп,Комплекс Варош
Прилеп,Прилеп,Дуќан на ул. „Блаже Крсточанец“ бр. 1
Прилеп,Прилеп,Дуќан на ул. „Блаже Крсточанец“ бр. 2
Прилеп,Прилеп,Дуќан на ул. „Блаже Крсточанец“ бр. 3 - за налани
Прилеп,Прилеп,Дуќан на ул. „Блаже Крсточанец“ бр. 5
Прилеп,Прилеп,Дуќан на ул. „29 Ноември“ бр. 3
Прилеп,Прилеп,Дуќан на ул. „29 Ноември“ бр. 4
Прилеп,Прилеп,Дуќан на ул. „29 Ноември“ бр. 5
Прилеп,Прилеп,Дуќан на ул. „29 Ноември“ бр. 10
Прилеп,Прилеп,Дуќан на ул. „29 Ноември“ бр. 11
Прилеп,Прилеп,Дуќан на ул. „29 Ноември“ бр. 12
Прилеп,Прилеп,Дуќан на ул. „29 Ноември“ бр. 14
Прилеп,Прилеп,Дуќан на ул. „Рампе Стојаноски“ бр. 23
Прилеп,Прилеп,Дуќан на ул. „Рампе Стојаноски“ бр. 25
Прилеп,Прилеп,Дуќан на ул. „Борка Талески“ бр. 5
Прилеп,Прилеп,Дуќан на ул. „Борка Талески“ бр. 7
Прилеп,Прилеп,Дуќан на ул. „Борка Талески“ бр. 9
Прилеп,Прилеп,Дуќан на ул. „Борка Талески“ бр. 11
Прилеп,Прилеп,Дуќан на ул. „Борка Талески“ бр. 13
Прилеп,Прилеп,Дуќан на ул. „Борка Талески“ бр. 15
Прилеп,Прилеп,Дуќан на ул. „Борка Талески“ бр. 17
Прилеп,Прилеп,Дуќан на ул. „Борка Талески“ бр. 19 за трукерај
Прилеп,Прилеп,Дуќан на ул. „Борка Талески“ бр. 19 – касапница
Прилеп,Прилеп,Дуќан на ул. „Борка Талески“ бр. 21
Прилеп,Прилеп,Дуќан на ул. „Борка Талески“ бр. 23
Прилеп,Прилеп,Дуќан на ул. „Борка Талески“ бр. 23а
Прилеп,Прилеп,Дуќан на ул. „Борка Талески“ бр. 25
Прилеп,Прилеп,Дуќан на ул. „Борка Талески“ бр. 25а
Прилеп,Прилеп,Дуќан на ул. „Борка Талески“ бр. 27
Прилеп,Прилеп,Дуќан на ул. „Борка Талески“ бр. 33
Прилеп,Прилеп,Дуќан на ул. „Борка Талески“ бр. 35
Прилеп,Прилеп,Дуќан на ул. „Борка Талески“ бр. 37
Прилеп,Прилеп,Дуќан на ул. „Херој Карпош“ бр. 1
Прилеп,Прилеп,Дуќан на ул. „Херој Карпош“ бр. 3
Прилеп,Прилеп,Дуќан на ул. „Херој Карпош“ бр. 7
Прилеп,Прилеп,Дуќан на ул. „Херој Карпош“ бр. 13
Прилеп,Прилеп,Дуќан на ул. „Херој Карпош“ бр. 15
Прилеп,Прилеп,Дуќан на ул. „Херој Карпош“ бр. 17
Прилеп,Прилеп,Дуќан на ул. „Херој Карпош“ бр. 19
Прилеп,Прилеп,Дуќан на ул. „Херој Карпош“ бр. 21
Прилеп,Прилеп,Дуќан на ул. „Херој Карпош“ бр. 23
Прилеп,Прилеп,Дуќан на ул. „Херој Карпош“ бр. 27
Прилеп,Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 7
Прилеп,Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 9
Прилеп,Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 11
Прилеп,Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 13
Прилеп,Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 15
Прилеп,Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 16
Прилеп,Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 17
Прилеп,Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 18
Прилеп,Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 19
Прилеп,Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 20
Прилеп,Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 21
Прилеп,Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 22
Прилеп,Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 23
Прилеп,Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 24
Прилеп,Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 30
Прилеп,Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 32
Прилеп,Прилеп,Дуќан на ул. „Гоце Делчев“ бр. 34
Прилеп,Прилеп,Дуќан на ул. „Јане Сандански“ бр. 9
Прилеп,Прилеп,Дуќан на ул. „Јане Сандански“ бр. 12
Прилеп,Прилеп,Дуќан на ул. „Јане Сандански“ бр. 13
Прилеп,Прилеп,Дуќан на ул. „Јане Сандански“ бр. 14
Прилеп,Прилеп,Дуќан на ул. „Јане Сандански“ бр. 15
Прилеп,Прилеп,Дуќан на ул. „Јане Сандански“ бр. 16
Прилеп,Прилеп,Дуќан на ул. „Јане Сандански“ бр. 17
Прилеп,Прилеп,Дуќан на ул. „Јане Сандански“ бр. 19
Прилеп,Прилеп,Дуќан на ул. „Јане Сандански“ бр. 20
Прилеп,Прилеп,Дуќан на ул. „Јане Сандански“ бр. 21
Прилеп,Прилеп,Дуќан на ул. „Јане Сандански“ бр. 22
Прилеп,Прилеп,Дуќан на ул. „Јане Сандански“ бр. 23
Прилеп,Прилеп,Дуќан на ул. „Јане Сандански“ бр. 24
Прилеп,Прилеп,Дуќан на ул. „Јане Сандански“ бр. 25
Прилеп,Прилеп,Дуќан на ул. „Јане Сандански“ бр. 26
Прилеп,Прилеп,Дуќан на ул. „Јане Сандански“ бр. 27
Прилеп,Прилеп,Дуќан на ул. „Јане Сандански“ бр. 28
Прилеп,Прилеп,Дуќан на ул. „Јане Сандански“ бр. 29
Прилеп,Прилеп,Дуќан на ул. „Јане Сандански“ бр. 30
Прилеп,Прилеп,Дуќан на ул. „Орце Николов“ бр. 1
Прилеп,Прилеп,Дуќан на ул. „Орце Николов“ бр. 2
Прилеп,Прилеп,Дуќан на ул. „Орце Николов“ бр. 3
Прилеп,Прилеп,Дуќан на ул. „Орце Николов“ бр. 4
Прилеп,Прилеп,Дуќан на ул. „Орце Николов“ бр. 5
Прилеп,Прилеп,Дуќан на ул. „Орце Николов“ бр. 6
Прилеп,Прилеп,Дуќан на ул. „Орце Николов“ бр. 9
Прилеп,Прилеп,Дуќан на ул. „Орце Николов“ бр. 10
Прилеп,Прилеп,Дуќан на ул. „Орце Николов“ бр. 11
Прилеп,Прилеп,Дуќан на ул. „Орце Николов“ бр. 13
Прилеп,Прилеп,Дуќан на ул. „Орце Николов“ бр. 15
Прилеп,Прилеп,Дуќан на ул. „Караорман“ бр. 15
Прилеп,Прилеп,Дуќан на ул. „Караорман“ бр. 17
Прилеп,Прилеп,Дуќан на ул. „Караорман“ бр. 18
Прилеп,Прилеп,Дуќан на ул. „Караорман“ бр. 19
Прилеп,Прилеп,Дуќан на ул. „Караорман“ бр. 21
Прилеп,Прилеп,Дуќан на ул. „Караорман“ бр. 23
Прилеп,Прилеп,Дуќан на ул. „Караорман“ бр. 24
Прилеп,Прилеп,Дуќан на ул. „Караорман“ бр. 25
Прилеп,Прилеп,Дуќан на ул. „Караорман“ бр. 31
Прилеп,Прилеп,Дуќан на ул. „Караорман“ бр. 32
Прилеп,Прилеп,Дуќан на ул. „Караорман“ бр. 36
Прилеп,Прилеп,Дуќан на ул. „Караорман“ бр. 38
Прилеп,Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 1
Прилеп,Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 3
Прилеп,Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 4
Прилеп,Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 5
Прилеп,Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 6
Прилеп,Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 7
Прилеп,Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 8
Прилеп,Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 9
Прилеп,Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 10
Прилеп,Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 10/а
Прилеп,Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 11
Прилеп,Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 12
Прилеп,Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 14
Прилеп,Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 18
Прилеп,Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 20
Прилеп,Прилеп,Дуќан на ул. „Лазо Попоски“ бр. 22
Прилеп,Прилеп,Дуќан на ул. „Стив Наумов“ бр. 2
Прилеп,Прилеп,Дуќан на ул. „Стив Наумов“ бр. 5
Прилеп,Прилеп,Дуќан на ул. „Стив Наумов“ бр. 6
Прилеп,Прилеп,Дуќан на ул. „Стив Наумов“ бр. 7
Прилеп,Прилеп,Дуќан на ул. „Стив Наумов“ бр. 8
Прилеп,Прилеп,Дуќан на ул. „Стив Наумов“ бр. 9
Прилеп,Прилеп,Дуќан на ул. „Стив Наумов“ бр. 11
Прилеп,Прилеп,Дуќан на ул. „Стив Наумов“ бр. 12
Прилеп,Прилеп,Дуќан на ул. „Стив Наумов“ бр. 12а
Прилеп,Прилеп,Дуќан на ул. „Стив Наумов“ бр. 14
Прилеп,Прилеп,Дуќан на ул. „Стив Наумов“ бр. 15
Прилеп,Прилеп,Дуќан на ул. „Стив Наумов“ бр. 18
Прилеп,Прилеп,Дуќан на ул. „Стив Наумов“ бр. 19
Прилеп,Прилеп,Дуќан на ул. „Стив Наумов“ бр. 21
Прилеп,Прилеп,Дуќан на ул. „Стив Наумов“ бр. 25
Прилеп,Прилеп,Дуќан на ул. „Цветан Димов“ бр. 2
Прилеп,Прилеп,Дуќан на ул. „Цветан Димов“ бр. 6
Прилеп,Прилеп,Дуќан на ул. „Цветан Димов“ бр. 6а
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 31
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 33
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 35
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 37 – продавница
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 37 - фризерски салон
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 39
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 43
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 45
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 47
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 48
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 49
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 50
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 52
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 54
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 56
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 58
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 60
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 62
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 64
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 66
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 68
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 70
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 72
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 74
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 76
Прилеп,Прилеп,Дуќан на ул. „Илинденска“ бр. 78
Прилеп,Прилеп,Дуќан на ул. „Ленинова“ бр. 114
Прилеп,Прилеп,Куќа на Кузман Јосифоски – Питу
Прилеп,Прилеп,Могила на непобедените
Прилеп,Прилеп,Прилепска чаршија
Прилеп,Прилеп,Чарши џамија
Прилеп,Прилеп,Скршена џамија
Прилеп,Прилеп,Меморијален музеј „11 Октомври“
Пробиштип,Злетово,Црква „Св. Трифун“
Пробиштип,Злетово,Црква „Св. Богородица Балаклија“
Пробиштип,Лесново,Лесновски манастир
Радовиш,Радовиш,Радовишко кале
Радовиш,Радовиш,Куќа на Ристо Консулов
Радовиш,Радовиш,Радовишко турбе
Ресен,Асамати,Археолошко наоѓалиште „Ружин Гроб“
Ресен,Болно,Куќа на Мите Богоевски
Ресен,Јанковец,Куќа во Јанковец
Ресен,Коњско,Село Коњско
Ресен,Љубојно,Село Љубојно
Ресен,Ресен,Ресенски сарај
Ресен,Ресен,Куќа на ул. „Кочо Рацин“ бр. 22
Ресен,Ресен,Спомен-куќа на Татарчеви
Ресен,Сливница,Сливнички манастир
Росоман,Манастирец,Средновековна кула
Свети,Амзабегово,Археолошко наоѓалиште „Барутница“
Свети,Горобинци,Археолошко наоѓалиште „Руг Баир“
Свети,Свети Николе,Стара општинска зграда
Старо,Кокино,Кокино
Старо,Младо Нагоричане,Зебрњак
Старо,Младо Нагоричане,Костоперска Карпа
Старо,Младо Нагоричане,Црква „Св. Ѓорѓи Победоносец“
Старо,Орах,Црква „Св. Никола и Св. Ѓорѓи“
Старо,Старо Нагоричане,Забелски манастир
Струга,Горна Белица,Археолошко наоѓалиште „Горна Белица“
Струга,Делогожди,Базилика „Св. Илија“
Струга,Калишта,Црква „Св. Богородица“ со Калишки манастир
Струга,Корошишта,Латинска Црква
Струга,Октиси,Археолошко наоѓалиште „Вајтос“
Струга,Октиси,Црква „Св. Никола“ и комплексот на ранохристијанската базилика
Струга,Радолишта,Цигански Гроб
Струга,Струга,Амам „Мустафа Челеби“
Струга,Струга,Теќе „Халвети“
Струга,Струга,Куќа на ул. „Гоце Делчев“ бр. 33
Струга,Струга,Куќа на ул. „Гоце Делчев“ бр. 60
Струга,Струга,Куќа на ул. „Гоце Делчев“ бр. 82
Струга,Струга,Куќа на ул. „Гоце Делчев“ бр. 84
Струга,Струга,Куќа на Каневчеви
Струга,Струга,Спомен-галерија „Вангел Коџоман“
Струга,Струга,Куќа на ул. „Браќа Миладиновци“ бр. 30
Струга,Струга,Куќа на ул. „Браќа Миладиновци“ бр. 32
Струга,Струга,Куќа на Карамитре
Струга,Струга,Куќа на ул. „Димче Кошарко“ бр. 42
Струга,Струга,Џамија „Мустафа Челеби“
Струга,Струга,Куќа на ул. „Цар Самоил“ бр. 44 и 46
Струга,Струга,Спомен-дом на Браќа Миладиновци
Струга,Струга,Управна зграда на Националниот музеј „Д-р Никола Незлобински“
Струга,Струга,Зграда на Народна одбрана
Струга,Струга,Образовен комплекс на ул. „Партизанска“ бр. 4 (Стара зграда на ОУ „Браќа Миладиновци“ и Зграда на Министерството за образование)
Струмица,Вељуса,Вељушки манастир
Струмица,Вељуса,Куќа на Пееви
Струмица,Вељуса,Куќа бр. 228
Струмица,Вељуса,Куќа бр. 261
Струмица,Водоча,Водочки манастир
Струмица,Струмица,Црква „Св. Петнаесет тивериополски маченици“
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 1
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 3
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 5
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 6
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 7
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 9
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 10
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 11
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 12
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 13
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 14
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 15
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 16
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 17
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 18
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 20
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 21
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 22
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 23
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 23а
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 24
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 25б
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 25в
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 26
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 27
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 28
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 28б
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 30
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 31
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 32
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 34
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 36
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 38
Струмица,Струмица,Дуќан на ул. „Маршал Тито“ бр. 40
Струмица,Струмица,Струмичко кале
Струмица,Струмица,Археолошко наоѓалиште „Марково Кале“
Струмица,Струмица,Археолошко наоѓалиште „Кула“
Струмица,Струмица,Стара турска пошта
Струмица,Струмица,Куќа на ул. „Тошо Арсов“ бр. 23
Струмица,Струмица,Куќа на ул. „Тодор Чучков“ бр. 8
Струмица,Струмица,Куќа на ул. „Тодор Чучков“ бр. 10
Струмица,Струмица,Куќа на ул. „Тодор Чучков“ бр. 14
Струмица,Струмица,Куќа на ул. „Тодор Чучков“ бр. 16
Струмица,Струмица,Куќа на ул. „Кирил и Методиј“ бр. 41
Струмица,Струмица,Куќа на ул. „Кирил и Методиј“ бр. 59 - 61
Струмица,Струмица,Куќа на ул. „Кирил и Методиј“ бр. 65
Струмица,Струмица,Куќа на ул. „Кирил и Методиј“ бр. 73
Струмица,Струмица,Куќа на ул. „Први мај“ бр. 1
Струмица,Струмица,Куќа на ул. „Ванчо Прке“ бр. 2
Струмица,Струмица,Куќа на ул. „Страшо Пинџур“ бр. 1
Струмица,Струмица,Зејни-бегов конак
Струмица,Струмица,Зграда на Општина Струмица
Струмица,Струмица,Хотел „Српски крал“
Струмица,Струмица,Црква „Св. Кирил и Методиј“
Струмица,Струмица,Орта џамија
Струмица,Струмица,Археолошко наоѓалиште „Мачук“
Струмица,Струмица,Струмичка чаршија
Струмица,Струмица,Стар театар „Антон Панов“
Струмица,Струмица,Библиотека „Благој Јанков - Мучето“
Струмица,Струмица,Завод за заштита на спомениците на културата и Музеј во Струмица
Струмица,Струмица,Спомен-дом на култура „Благој Јанков Мучето“
Студеничани,Горно Количани,Старо училиште
Студеничани,Маркова Сушица,Црква „Св. Никола Николимуки“[б 1]
Студеничани,Маркова Сушица,Марков манастир
Теарце,Лешок,Археолошко наоѓалиште „Два Бреста“
Теарце,Лешок,Археолошко наоѓалиште „Лешочко Кале“
Теарце,Лешок,Археолошко наоѓалиште „Црници“
Теарце,Лешок,Гроб на Кирил Пејчиновиќ
Теарце,Слатино,Археолошко наоѓалиште „Долги Грм“
Тетово,Тетово,Чифте амам
Тетово,Тетово,Тетовско кале
Тетово,Тетово,Куќа на ул. „Кузман Јосифовски-Питу“ бр. 130
