Број,Општина,Населено место,Градба/место,Фотографија,Unnamed: 5
193,Велес (28),Велес,Куќа на ул. „Владимир Назор“ бр. 34,,
194,Велес (28),Велес,Куќа на ул. „Коле Цветков“ бр. 15,,
195,Велес (28),Велес,Црква „Св. Ѓорѓи“,,
196,Велес (28),Велес,Црква „Св. Димитриј“,,
197,Велес (28),Велес,Црква „Св. Никола“,,
198,Велес (28),Велес,Црква „Св. Марко“,,
199,Велес (28),Велес,Црква „Св. Спас“,,
200,Велес (28),Велес,Црква „Св. Пантелејмон“,,
201,Велес (28),Велес,Саат-кула,,
202,Велес (28),Велес,Велешка тврдина,,
203,Велес (28),Велес,Фазил Ахмет-пашина џамија,,
204,Велес (28),Велес,Куќа на ул. „9 Ноември“ бр. 54,,
204,Велес (28),Велес,Куќа на ул. „9 Ноември“ бр. 30,,
204,Велес (28),Велес,Куќа на ул. „9 Ноември“ бр. 30,,
204,Велес (28),Велес,Варналиите,,
204,Велес (28),Црквино,Црква „Св. Ѓорѓи“,,
205,Виница (3),Виница,Виничко кале,,
206,Виница (3),Виница,Археолошко наоѓалиште „Горица“,,
207,Виница (3),Виница,Куќа на Ќазим-бег,,
208,Врапчиште (1),Врапчиште,Археолошко наоѓалиште „Градиште“,,
209,Гевгелија (20),Гевгелија,Археолошко наоѓалиште „Сува Река“,,
210,Гевгелија (20),Гевгелија,Археолошко наоѓалиште „Вардарски Рид“,,
211,Гевгелија (20),Гевгелија,Гевгелиски амам,,
212,Гевгелија (20),Гевгелија,ЖС „Гевгелија“,,
213,Гевгелија (20),Гевгелија,НУ Музеј - Гевгелија (Музеј „Митко Зафиров“),,
214,Гевгелија (20),Гевгелија,Куќа на ул. „Маршал Тито“ бр. 170,,
215,Гевгелија (20),Гевгелија,Андреев конак,,
216,Гевгелија (20),Гевгелија,Зграда на Библиотеката„Гоце Делчев“,,
217,Гевгелија (20),Гевгелија,Кангов конак,,
218,Гевгелија (20),Гевгелија,Зграда на Општина Гевгелија,,
219,Гевгелија (20),Гевгелија,Вила Тина,,
220,Гевгелија (20),Гевгелија,Гевгелиска чаршија,,
220,Гевгелија (20),Гевгелија,Градба на ул. „Маршал Тито“ бр. 97,,
220,Гевгелија (20),Гевгелија,Градба на ул. „7 Ноември“ бр. 2,,
221,Гевгелија (20),Конско,Училишна зграда,,
222,Гевгелија (20),Милетково,Археолошко наоѓалиште „Градишор/Мрамор“,,
223,Гевгелија (20),Прдејци,Археолошко наоѓалиште „Бистерна“,,
224,Гевгелија (20),Прдејци,Археолошко наоѓалиште „Ветка Црква“,,
225,Гевгелија (20),Смоквица,Црква „Св. Димитртиј“,,
226,Гевгелија (20),Смоквица,Агова чешма,,
227,Гостивар (32),Гостивар,Спомен-костурница,,
228,Гостивар (32),Гостивар,Куќа на ул. „Кочо Зази“ бр. 85,,
229,Гостивар (32),Гостивар,Куќа на ул. „Иво Рибар Лола“ бр. 80,,
230,Гостивар (32),Гостивар,Бегова куќа,,
231,Гостивар (32),Гостивар,Куќа на ул. „Слободан Поповски“ бр. 1,,
232,Гостивар (32),Гостивар,Саат-кула,,
232,Гостивар (32),Гостивар,Куќа на Канчески,,
232,Гостивар (32),Гостивар,Стара медреса,,
232,Гостивар (32),Гостивар,Црква „Св. Димитрија“,,
232,Гостивар (32),Гостивар,Црква „Св. Богородица“,,
232,Гостивар (32),Гостивар,Градски центар,,
231,Гостивар (32),Гостивар,Куќа на ул. „Страхиња Симоноски“ бр. 10,,
231,Гостивар (32),Гостивар,Куќа на ул. „29 Ноември“ бр. 2,,
231,Гостивар (32),Гостивар,Куќа на ул. „29 Ноември“ бр. 4,,
231,Гостивар (32),Гостивар,Куќа на ул. „29 Ноември“ бр. 6,,
231,Гостивар (32),Гостивар,Куќа на ул. „Слободан Пепоски“ бр. 46,,
231,Гостивар (32),Гостивар,Куќа на ул. „ЈНА“ бр. 65,,
231,Гостивар (32),Гостивар,Куќа на ул. „ЈНА“ бр. 72-80,,
231,Гостивар (32),Гостивар,Градба на ул. „ЈНА“ бр. 12 и 14,,
231,Гостивар (32),Гостивар,Градба на ул. „ЈНА“ бр. 16,,
231,Гостивар (32),Гостивар,Градба на ул. „ЈНА“ бр. 18,,
231,Гостивар (32),Гостивар,Градба на ул. „ЈНА“ бр. 57,,
231,Гостивар (32),Гостивар,Градба на ул. „ЈНА“ бр. 57,,
231,Гостивар (32),Гостивар,Градба на ул. „ЈНА“ бр. 82-88,,
231,Гостивар (32),Гостивар,Градба на ул. „Борис Кидрич“ бр. 2,,
231,Гостивар (32),Гостивар,Куќа на ул. „Борис Кидрич“ бр. 2,,
231,Гостивар (32),Гостивар,Куќа на ул. „Борис Кидрич“ бр. 7 и 9,,
231,Гостивар (32),Гостивар,Куќа на ул. „Борис Кидрич“ бр. 8,,
231,Гостивар (32),Гостивар,Куќа на ул. „Борис Кидрич“ бр. 11,,
233,Гостивар (32),Равен,Археолошко наоѓалиште „Кале“,,
233,Гостивар (32),Равен,Стара џамија,,
233,Гостивар (32),Симница,Стара џамија,,
234,Градско (3),Горно Чичево,Чичевски манастир,,
235,Градско (3),Градско,Стоби,,
236,Градско (3),Свеќани,Црква „Св. Атанасиј“,,
237,Дебар (15),Бањиште,Стари дебарски бањи,,
237,Дебар (15),Гари,Рурална целина Гари,,
238,Дебар (15),Дебар,Нов амам,,
239,Дебар (15),Дебар,Стар амам,,
241,Дебар (15),Дебар,Куќа на ул. „Петре Поповски“ бр. 9,,
242,Дебар (15),Дебар,Куќа на ул. „Лиман Каба“ бр. 22,,
242,Дебар (15),Дебар,Куќа на ул. „1 Мај“ бр. 43,,
244,Дебар (15),Дебар,Куќа на ул. „Братство–единство“ бр. 31,,
245,Дебар (15),Дебар,Куќа на ул. „Здравко Чочковски“ бр. 226,,
249,Дебар (15),Дебар,Црква „Св. Петка“,,
250,Дебар (15),Дебар,Инќар џамија,,
251,Дебар (15),Могорче,Елен Скок,,
251,Дебар (15),Рајчица,Црква „Св. Варвара“,,
252,Дебар (15),Рајчица,Црква „Св. Ѓорѓи“,,
253,Дебар (15),Џепиште,Археолошко наоѓалиште „Римска црква“,,
254,Дебрца (25),Белчишта,"Споменик на слободата, братството и единството на бригадите",,
255,Дебрца (25),Белчишта,Основно училиште,,
256,Дебрца (25),Белчишта,Куќа со спомен-плоча,,
257,Дебрца (25),Велмеј,Археолошко наоѓалиште „Горнополско Градиште“,,
257,Дебрца (25),Велмеј,Археолошко наоѓалиште „Кутлина“,,
258,Дебрца (25),Велмеј,Црква „Св. Богородица Пречиста Ќелија“,,
259,Дебрца (25),Врбјани,Црква „Св. Ѓорѓи“,,
260,Дебрца (25),Врбјани,Споменик на паднатите борци од НОБ,,
261,Дебрца (25),Годивје,Црква „Св. Ѓорѓи“,,
262,Дебрца (25),Горенци,Археолошко наоѓалиште „Требеништа-Сува Чешма“,,
262,Дебрца (25),Горенци,Археолошко наоѓалиште „Требенишка Некропола“,,
263,Дебрца (25),Горно Средоречие,Археолошко наоѓалиште „Зластрана“,,
264,Дебрца (25),Злести,Црква „Св. Богородица“,,
265,Дебрца (25),Издеглавје,Црква „Св. Никола“,,
266,Дебрца (25),Лешани,Црква „Сите Светители“,,
267,Дебрца (25),Лешани,Лешанска воденица,,
268,Дебрца (25),Оздолени,Црква „Св. Ѓорѓи“,,
267,Дебрца (25),Оровник,Римски бањи,,
269,Дебрца (25),Слатино,Основно училиште,,
270,Дебрца (25),Сливово,Спомен-чешма,,
270,Дебрца (25),Сливово,Спомен-плоча,,
271,Дебрца (25),Требеништа,Археолошко наоѓалиште „Требеништа“,,
272,Дебрца (25),Требеништа,Требенишко кале,,
273,Дебрца (25),Турје,Црква „Св. Богородица“,,
